id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Golden Hour Echo,Marina Vale,folk,nostalgic,0.55,96,0.72,0.61,0.68
12,Backstreet Brass,The Velvet Beat,funk,playful,0.82,116,0.88,0.90,0.09
13,Midnight Orchard,Willow Reed,indie folk,dreamy,0.34,74,0.63,0.49,0.81
14,City of Neon,Aria North,hip-hop,confident,0.87,128,0.74,0.78,0.12
15,Quiet Harbor,Ember Lane,reggae,relaxed,0.51,92,0.69,0.67,0.58
16,Velvet Skyline,Solstice Crew,alt pop,hopeful,0.71,108,0.79,0.74,0.29
17,Winter Glass,North & Tide,classical,melancholy,0.22,64,0.32,0.25,0.95
18,Firelight Parade,The Hollow Keys,country,romantic,0.63,104,0.76,0.68,0.48
